location,substrate,type,IIIa-tot,IIIb-tot,IIIc-tot,Iia-tot,Iib-tot,Iic-tot,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,SUMBR,FR.TETR,FR.PEN,FR.HEX,NoRINGStetra,NoRINGSpenta,NoRINGSpenta5,NoRINGSpenta6,IRpenta,IRhexa,,Iia,Iia',Iib,Iib',Iic,Iic',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc'
Cobham,Lignite,Paleogene,122584,0,0,1850198,212265,115180,31109549,1873478,1256205,36539459.62,93.70,5.96,0.34,0.13,0.20,0.20,,0.00,0.00,,1850198,0,212265,0,115180,0,122584,0,0,0,0,0
Cobham,Lignite,Paleogene,127329,0,0,1102605,100010,60248,12950006,764692,494025,15598914.30,91.09,8.10,0.82,0.12,0.17,0.17,,0.00,0.15,,1102605,0,100010,0,60248,0,107650,19679,0,0,0,0
Otaio,Lignite,Paleogene,68773,0,0,2154253,123625,97345,168008705,6214431,5614938,182282069.86,98.66,1.30,0.04,0.10,0.13,0.47,0.01,0.74,0.00,,418770,1735483,123625,0,86798,10548,68773,0,0,0,0,0
Otaio,Lignite,Paleogene,0,0,0,3418823,261256,135064,352962478,14254949,7863585,378896154.87,98.99,1.01,0.00,0.08,0.14,0.14,,0.00,,,3418823,0,261256,0,135064,0,0,0,0,0,0,0
Otaio,Lignite,Paleogene,1937656,0,0,5181463,300288,405717,180647906,13504266,10590852,212568147.86,96.32,2.77,0.91,0.17,0.19,0.19,,0.00,0.19,,5181463,0,300288,0,405717,0,1565520,372136,0,0,0,0
Otaio,Lignite,Paleogene,2109536,69354,0,6177834,345702,333697,244323246,20992059,12112397,286463826.47,96.85,2.39,0.76,0.16,0.15,0.12,1.00,0.03,0.11,,6177834,0,115815,229887,333697,0,1880936,228600,61124,8230,0,0
Otaio,Lignite,Paleogene,501551,0,0,1991768,114392,101288,75343993,5891737,3633622,87578351.14,96.91,2.52,0.57,0.16,0.14,0.14,,0.00,0.21,,1991768,0,114392,0,101288,0,398530,103021,0,0,0,0
Otaio,Lignite,Paleogene,73763,0,0,943062,36254,40648,24404840,1634986,1421157,28554711.02,96.17,3.57,0.26,0.16,0.12,0.10,1.14,0.01,0.49,,943062,0,24032,12222,38611,2037,37928,35835,0,0,0,0
India,Lignite,Paleogene,0,0,0,486274,0,0,11300597,208297,156144,12151313.19,96.00,4.00,0.00,0.04,0.00,0.00,0.00,0.56,,,213951,272323,0,0,0,0,0,0,0,0,0,0
India,Lignite,Paleogene,0,0,0,146385,0,0,2473717,641813,11032,3272946.68,95.53,4.47,0.00,0.21,0.00,0.00,0.00,0.84,,,23691,122693,0,0,0,0,0,0,0,0,0,0
