Site,coresec,interval,depth,age,1302,1300,1298,1296,1292,1292',1050-1,1050-2,H-1048,H-1048b-1,H-1048b-2,1036-1,1036-2,1034-1,1034-2,H-1034a,H-1034b,H-1034c,H-1034tot,1032-1,1032-2,1022,1020,H-1020p,H-1020a,H-1020b,H-1020c,H-1020tot,1018,1050-tot,1036-tot,1034-tot,1032-tot,,,
1172,15R-4A,99,611,55.8640,1.58E+06,3.46E+05,3.07E+05,9.59E+04,2.62E+06,1.79E+05,,,,,,,,,,,,,,,,1.48E+05,,,,,,,,2.04E+04,5.47E+04,,,,,
1172D,15R-4W,100-102 cm,611.01,55.8657,1.02E+07,2.07E+06,1.83E+06,5.50E+05,1.57E+07,1.22E+06,9.77E+04,1.25E+05,1.00E+03,1.00E+03,1.00E+03,1.14E+05,8.38E+04,5.19E+04,7.48E+04,0.00E+00,6.67E+03,8.83E+03,1.55E+04,1.19E+04,2.13E+04,6.00E+05,8.39E+04,7.68E+03,2.33E+05,1.81E+05,4.69E+04,4.61E+05,4.58E+04,2.23E+05,1.98E+05,1.27E+05,3.32E+04,,,
1172,15R-4A,110,611.115,55.8836,7.67E+05,1.79E+05,1.86E+05,6.04E+04,1.50E+06,1.25E+05,,,,,,,,,,,,,,,,1.06E+05,,,,,,,,1.10E+04,3.30E+04,,,,,
1172,15R-4A,119,611.195,55.8972,9.54E+05,2.27E+05,2.29E+05,7.52E+04,1.89E+06,1.56E+05,,,,,,,,,,,,,,,,1.35E+05,,,,,,,,1.47E+04,4.13E+04,,,,,
1172D,15R-4W,120-122 cm,611.21,55.8997,9.50E+06,2.11E+06,2.26E+06,6.60E+05,1.72E+07,1.55E+06,9.58E+04,1.14E+05,4.50E+03,4.60E+03,2.39E+03,1.36E+05,9.91E+04,6.56E+04,6.28E+04,1.00E+03,1.15E+04,1.39E+04,2.65E+04,2.36E+04,2.32E+04,8.41E+05,1.05E+05,1.56E+04,3.88E+05,2.98E+05,8.25E+04,7.68E+05,5.21E+04,2.10E+05,2.35E+05,1.28E+05,4.68E+04,,,
1172,15R-4A,131,611.315,55.9176,6.04E+05,1.42E+05,1.49E+05,4.80E+04,1.16E+06,1.03E+05,,,,,,,,,,,,,,,,8.56E+04,,,,,,,,1.22E+04,3.41E+04,,,,,
1172,15R-4A,135,611.355,55.9244,1.45E+06,3.50E+05,3.80E+05,1.23E+05,3.07E+06,2.79E+05,,,,,,,,,,,,,,,,2.23E+05,,,,,,,,2.93E+04,8.08E+04,,,,,
1172D,15R-4W,140-142 cm,611.41,55.9337,5.17E+06,1.20E+06,1.27E+06,3.85E+05,1.04E+07,1.00E+06,7.17E+04,8.50E+04,3.64E+03,0.00E+00,0.00E+00,9.27E+04,7.67E+04,4.16E+04,4.28E+04,5.07E+03,8.11E+03,1.19E+04,2.50E+04,1.62E+04,1.45E+04,5.25E+05,6.30E+04,1.20E+04,2.26E+05,1.75E+05,6.29E+04,4.64E+05,3.37E+04,1.57E+05,1.69E+05,8.44E+04,3.07E+04,,,
1172,15R-4A,146,611.47,55.9439,2.91E+06,7.39E+05,8.91E+05,3.12E+05,6.98E+06,7.58E+05,,,,,,,,,,,,,,,,6.29E+05,,,,,,,,5.91E+04,2.11E+05,,,,,
1172,15R-5A,0,611.515,55.9516,1.02E+06,3.12E+05,4.28E+05,1.51E+05,3.30E+06,4.14E+05,,,,,,,,,,,,,,,,2.61E+05,,,,,,,,2.55E+04,7.00E+04,,,,,
1172,15R-5A,5,611.56,55.9592,1.05E+06,3.23E+05,4.26E+05,1.59E+05,3.37E+06,4.27E+05,,,,,,,,,,,,,,,,2.78E+05,,,,,,,,3.19E+04,1.24E+05,,,,,
1172D,15R-5W,10-12 cm,611.61,55.9677,2.34E+06,4.75E+05,7.60E+05,2.63E+05,6.56E+06,9.12E+05,4.51E+04,3.09E+04,0.00E+00,8.54E+03,1.36E+04,6.12E+04,4.93E+04,1.75E+04,2.98E+04,4.91E+03,5.36E+03,1.57E+04,2.60E+04,8.06E+03,9.62E+03,4.06E+05,6.82E+04,1.64E+04,1.74E+05,1.27E+05,1.30E+05,4.31E+05,4.85E+04,7.60E+04,1.11E+05,4.73E+04,1.77E+04,,,
1172,15R-5A,13,611.64,55.9728,1.12E+06,3.47E+05,5.13E+05,2.00E+05,4.15E+06,5.59E+05,,,,,,,,,,,,,,,,3.57E+05,,,,,,,,3.50E+04,9.72E+04,,,,,
1172,15R-5A,19,611.7,55.9830,6.05E+05,2.46E+05,4.29E+05,1.76E+05,3.69E+06,5.30E+05,,,,,,,,,,,,,,,,2.07E+05,,,,,,,,1.50E+04,4.01E+04,,,,,
1172,15R-5A,23,611.74,55.9898,6.13E+05,2.31E+05,3.74E+05,1.51E+05,3.14E+06,4.42E+05,,,,,,,,,,,,,,,,1.38E+05,,,,,,,,2.57E+04,2.55E+04,,,,,
1172,15R-5A,27,611.775,55.9958,6.92E+05,2.17E+05,3.42E+05,1.35E+05,2.78E+06,3.95E+05,,,,,,,,,,,,,,,,1.22E+05,,,,,,,,2.27E+04,2.64E+04,,,,,
1172,15R-5A,29,611.795,55.9992,4.97E+05,1.58E+05,2.29E+05,9.04E+04,1.87E+06,2.46E+05,,,,,,,,,,,,,,,,1.53E+05,,,,,,,,1.08E+04,3.40E+04,,,,,
1172D,15R-5W,30-32 cm,611.81,56.0018,5.08E+06,1.10E+06,1.44E+06,4.84E+05,1.22E+07,1.47E+06,6.44E+04,6.85E+04,5.97E+03,1.40E+04,4.35E+03,1.08E+05,7.27E+04,3.16E+04,4.78E+04,8.35E+03,1.04E+04,1.79E+04,3.67E+04,1.00E+04,1.35E+04,7.70E+05,8.75E+04,1.86E+04,2.79E+05,2.27E+05,8.91E+04,5.96E+05,4.73E+04,1.33E+05,1.81E+05,7.94E+04,2.35E+04,,,
1172,15R-5A,31,611.815,56.0027,1.51E+07,5.73E+05,7.97E+05,3.05E+05,6.74E+06,8.85E+05,,,,,,,,,,,,,,,,4.81E+05,,,,,,,,4.02E+04,1.14E+05,,,,,
1172,15R-5A,33,611.835,56.0062,,1.65E+06,2.20E+06,7.91E+05,1.80E+07,1.95E+06,,,,,,,,,,,,,,,,1.51E+06,,,,,,,,1.50E+05,4.75E+05,,,,,
1172,15R-5A,35,611.86,56.0106,5.37E+06,7.59E+05,9.82E+05,3.50E+05,8.01E+06,9.10E+05,,,,,,,,,,,,,,,,6.37E+05,,,,,,,,5.88E+04,1.67E+05,,,,,
1172,15R-5A,38,611.885,56.0151,1.17E+06,2.34E+05,2.05E+05,6.07E+04,1.89E+06,1.30E+05,,,,,,,,,,,,,,,,1.79E+05,,,,,,,,1.69E+04,5.53E+04,,,,,
1172D,15R-5W,40-42 cm,611.91,56.0195,7.45E+06,1.41E+06,1.24E+06,3.27E+05,1.15E+07,7.39E+05,7.91E+04,8.63E+04,3.71E+03,1.00E+03,2.00E+03,1.46E+05,6.79E+04,3.33E+04,5.29E+04,3.55E+03,1.18E+04,1.56E+04,3.10E+04,1.03E+04,1.68E+04,7.91E+05,7.49E+04,1.91E+04,3.56E+05,2.93E+05,4.20E+04,6.91E+05,3.71E+04,1.65E+05,2.14E+05,8.62E+04,2.71E+04,,,
1172,15R-5A,40,611.911,56.0197,1.57E+06,3.21E+05,3.16E+05,9.49E+04,2.75E+06,2.20E+05,,,,,,,,,,,,,,,,2.56E+05,,,,,,,,2.58E+04,8.04E+04,,,,,
1172,15R-5A,42,611.925,56.0222,4.47E+06,8.91E+05,8.18E+05,2.40E+05,7.55E+06,5.18E+05,,,,,,,,,,,,,,,,7.04E+05,,,,,,,,7.49E+04,2.19E+05,,,,,
1172,15R-5A,44,611.945,56.0257,2.54E+06,5.55E+05,5.46E+05,1.51E+05,4.56E+06,3.58E+05,,,,,,,,,,,,,,,,5.71E+05,,,,,,,,4.79E+04,1.48E+05,,,,,
1172,15R-5A,46,611.965,56.0293,5.85E+06,1.27E+06,1.26E+06,3.56E+05,1.01E+07,8.38E+05,,,,,,,,,,,,,,,,1.38E+06,,,,,,,,1.29E+05,4.08E+05,,,,,
1172,15R-5A,48,611.985,56.0328,2.13E+06,4.83E+05,4.91E+05,1.52E+05,3.99E+06,3.42E+05,,,,,,,,,,,,,,,,5.83E+05,,,,,,,,6.08E+04,1.75E+05,,,,,
1172,15R-5A,50,612.005,56.0364,3.78E+06,6.67E+05,7.21E+05,2.25E+05,5.78E+06,5.43E+05,,,,,,,,,,,,,,,,7.81E+05,,,,,,,,6.87E+04,2.29E+05,,,,,
1172,15R-5A,52,612.025,56.0399,2.13E+06,5.33E+05,5.21E+05,1.57E+05,4.14E+06,3.64E+05,,,,,,,,,,,,,,,,4.94E+05,,,,,,,,4.10E+04,1.37E+05,,,,,
1172,15R-5A,55,612.055,56.0452,1.36E+06,3.07E+05,3.18E+05,9.88E+04,2.60E+06,2.36E+05,,,,,,,,,,,,,,,,4.15E+05,,,,,,,,2.88E+04,1.02E+05,,,,,
1172,15R-5A,59,612.095,56.0523,2.73E+06,6.17E+05,6.21E+05,1.80E+05,5.25E+06,4.24E+05,,,,,,,,,,,,,,,,7.32E+05,,,,,,,,4.76E+04,1.64E+05,,,,,
1172,15R-5A,69,612.195,56.0701,1.32E+07,2.63E+06,2.64E+06,7.78E+05,2.13E+07,1.66E+06,,,,,,,,,,,,,,,,3.13E+06,,,,,,,,2.21E+05,7.07E+05,,,,,
1172,15R-5A,79,612.295,56.0878,1.89E+07,4.22E+06,4.23E+06,1.16E+06,3.54E+07,2.77E+06,,,,,,,,,,,,,,,,4.01E+06,,,,,,,,3.60E+05,1.08E+06,,,,,
1172,15R-5A,85,612.355,56.0985,9.09E+06,2.04E+06,2.03E+06,5.64E+05,1.71E+07,1.31E+06,,,,,,,,,,,,,,,,2.04E+06,,,,,,,,1.82E+05,5.81E+05,,,,,
1172,15R-5A,90,612.405,56.1073,7.38E+06,1.46E+06,1.43E+06,3.94E+05,1.22E+07,8.85E+05,,,,,,,,,,,,,,,,1.86E+06,,,,,,,,1.99E+05,4.94E+05,,,,,
1172D,15R-5W,90-92 cm,612.41,56.1082,3.79E+06,7.14E+05,6.96E+05,1.78E+05,6.20E+06,4.14E+05,6.28E+04,6.38E+04,2.00E+03,2.46E+03,1.19E+04,9.26E+04,5.50E+04,1.86E+04,2.97E+04,2.03E+03,7.60E+03,1.48E+04,2.44E+04,6.76E+03,9.59E+03,5.35E+05,4.71E+04,1.10E+04,2.23E+05,1.83E+05,3.22E+04,4.38E+05,2.12E+04,1.27E+05,1.48E+05,4.83E+04,1.64E+04,,,
1172,15R-5A,94,612.45,56.1153,4.60E+06,1.04E+06,1.01E+06,2.81E+05,8.61E+06,6.53E+05,,,,,,,,,,,,,,,,1.02E+06,,,,,,,,8.88E+04,2.89E+05,,,,,
1172,15R-5A,99,612.495,56.1233,2.31E+07,2.66E+06,2.60E+06,7.47E+05,2.15E+07,1.66E+06,,,,,,,,,,,,,,,,2.59E+06,,,,,,,,2.69E+05,7.54E+05,,,,,
1172,15R-5A,104,612.55,56.1331,7.45E+06,1.63E+06,1.57E+06,4.59E+05,1.37E+07,1.02E+06,,,,,,,,,,,,,,,,1.43E+06,,,,,,,,1.60E+05,4.58E+05,,,,,
1172,15R-5A,110,612.605,56.1428,1.07E+07,2.25E+06,2.12E+06,5.80E+05,1.87E+07,1.32E+06,,,,,,,,,,,,,,,,1.60E+06,,,,,,,,1.86E+05,5.49E+05,,,,,
1172,15R-5A,120,612.705,56.1606,1.87E+07,3.95E+06,3.68E+06,1.01E+06,3.17E+07,2.23E+06,,,,,,,,,,,,,,,,2.66E+06,,,,,,,,2.63E+05,8.75E+05,,,,,
1172,15R-5A,130,612.805,56.1783,1.03E+07,2.12E+06,1.87E+06,5.20E+05,1.76E+07,1.17E+06,,,,,,,,,,,,,,,,1.64E+06,,,,,,,,1.80E+05,4.85E+05,,,,,
1172,15R-5A,139,612.9,56.1952,1.41E+07,2.96E+06,2.81E+06,7.79E+05,2.47E+07,1.69E+06,,,,,,,,,,,,,,,,2.04E+06,,,,,,,,1.85E+05,5.89E+05,,,,,
1172D,15R-5W,140-142 cm,612.91,56.1969,8.96E+06,1.84E+06,1.66E+06,4.20E+05,1.40E+07,9.35E+05,7.40E+04,8.75E+04,3.42E+03,2.88E+03,2.23E+03,1.57E+05,6.52E+04,3.06E+04,4.95E+04,1.00E+03,1.11E+04,1.33E+04,2.54E+04,9.39E+03,1.60E+04,8.18E+05,7.01E+04,1.00E+04,3.11E+05,2.56E+05,4.16E+04,6.09E+05,3.34E+04,1.62E+05,2.22E+05,8.01E+04,2.54E+04,,,
1172,15R-6A,10,613.105,56.2315,9.10E+06,1.98E+06,1.88E+06,4.84E+05,1.65E+07,1.19E+06,,,,,,,,,,,,,,,,1.43E+06,,,,,,,,1.19E+05,3.94E+05,,,,,
1172D,15R-6W,10-12 cm,613.106,56.2317,3.89E+06,7.55E+05,7.13E+05,1.81E+05,6.63E+06,4.59E+05,3.75E+04,4.44E+04,2.00E+03,1.00E+03,1.00E+03,7.65E+04,3.51E+04,1.89E+04,3.16E+04,2.88E+03,6.85E+03,1.56E+04,2.54E+04,4.93E+03,9.61E+03,4.79E+05,4.37E+04,1.09E+04,2.99E+05,2.39E+05,2.99E+04,5.68E+05,2.01E+04,8.19E+04,1.12E+05,5.05E+04,1.45E+04,,,
1172,15R-6A,30,613.305,56.2670,6.13E+06,1.30E+06,1.16E+06,3.12E+05,1.10E+07,7.48E+05,,,,,,,,,,,,,,,,1.08E+06,,,,,,,,8.58E+04,2.81E+05,,,,,
1172,15R-6A,50,613.505,56.3025,7.62E+06,1.73E+06,1.62E+06,4.51E+05,1.44E+07,1.04E+06,,,,,,,,,,,,,,,,1.73E+06,,,,,,,,1.18E+05,4.74E+05,,,,,
1172,15R-6A,70,613.705,56.3380,1.20E+07,2.46E+06,2.24E+06,5.56E+05,1.96E+07,1.31E+06,,,,,,,,,,,,,,,,1.56E+06,,,,,,,,1.48E+05,5.44E+05,,,,,
1172D,15R-6W,70-72 cm,613.706,56.3382,4.38E+06,8.79E+05,8.13E+05,1.88E+05,7.04E+06,4.47E+05,4.49E+04,5.72E+04,5.00E+02,4.58E+03,3.32E+03,7.85E+04,4.25E+04,2.15E+04,3.40E+04,1.29E+04,9.21E+03,1.59E+04,3.80E+04,5.82E+03,9.75E+03,4.61E+05,3.89E+04,1.11E+04,3.10E+05,2.38E+05,2.94E+04,5.77E+05,1.89E+04,1.02E+05,1.21E+05,5.55E+04,1.56E+04,,,
1172,15R-6A,90,613.905,56.3735,4.10E+06,6.59E+05,6.33E+05,1.49E+05,5.04E+06,3.68E+05,,,,,,,,,,,,,,,,1.00E+06,,,,,,,,6.55E+04,2.13E+05,,,,,
1172,15R-6A,110,614.105,56.4090,2.52E+06,6.43E+05,7.52E+05,2.07E+05,5.79E+06,5.32E+05,,,,,,,,,,,,,,,,8.30E+05,,,,,,,,5.67E+04,2.25E+05,,,,,
1172,15R-6A,130,614.305,56.4444,3.60E+06,6.83E+05,7.69E+05,1.85E+05,5.81E+06,4.77E+05,,,,,,,,,,,,,,,,1.05E+06,,,,,,,,6.78E+04,2.38E+05,,,,,
1172,15R-7A,10,614.605,56.4977,4.83E+06,9.93E+05,1.01E+06,2.88E+05,8.41E+06,6.92E+05,,,,,,,,,,,,,,,,1.16E+06,,,,,,,,7.47E+04,2.78E+05,,,,,
1172D,15R-7W,10-12 cm,614.61,56.4985,2.72E+06,5.26E+05,5.24E+05,1.40E+05,4.57E+06,3.67E+05,2.87E+04,3.04E+04,2.25E+03,0.00E+00,1.00E+03,6.83E+04,2.73E+04,1.34E+04,1.81E+04,2.10E+03,8.39E+03,1.29E+04,2.34E+04,4.94E+03,5.31E+03,4.70E+05,3.77E+04,1.46E+04,3.09E+05,2.52E+05,3.55E+04,5.96E+05,1.70E+04,5.91E+04,9.56E+04,3.15E+04,1.03E+04,,,
1172,15R-7A,49,614.995,56.5669,7.03E+06,1.29E+06,1.11E+06,2.95E+05,1.12E+07,6.96E+05,,,,,,,,,,,,,,,,7.61E+05,,,,,,,,1.11E+05,2.95E+05,,,,,
1172D,15R-7W,60-62 cm,615.1,56.5855,4.87E+06,8.99E+05,8.05E+05,2.10E+05,7.50E+06,5.14E+05,4.84E+04,5.66E+04,2.32E+03,0.00E+00,1.00E+03,8.72E+04,4.26E+04,2.26E+04,3.44E+04,0.00E+00,6.89E+03,1.36E+04,2.05E+04,6.47E+03,1.12E+04,4.63E+05,4.32E+04,1.23E+04,3.26E+05,2.54E+05,2.72E+04,6.07E+05,2.30E+04,1.05E+05,1.30E+05,5.70E+04,1.77E+04,,,
,16R-1W,40-42 cm,615.67,56.6866,1.36E+07,2.66E+06,2.16E+06,6.97E+05,2.50E+07,1.56E+06,1.64E+05,2.06E+05,0.00E+00,0.00E+00,0.00E+00,2.62E+05,1.55E+05,6.34E+04,1.22E+05,0.00E+00,2.04E+04,4.60E+04,6.64E+04,2.14E+04,3.20E+04,1.64E+06,1.35E+05,1.71E+04,6.25E+05,6.70E+05,8.67E+04,1.38E+06,7.00E+04,3.70E+05,4.17E+05,1.85E+05,5.34E+04,,,
,16R-1W,100-102 cm,616.27,56.7931,3.01E+06,5.30E+05,5.22E+05,1.53E+05,5.55E+06,3.28E+05,4.33E+04,5.30E+04,2.00E+03,4.94E+03,5.04E+03,9.00E+04,4.31E+04,2.09E+04,2.63E+04,7.60E+03,1.01E+04,3.09E+04,4.86E+04,4.62E+03,8.39E+03,6.52E+05,4.54E+04,1.24E+04,4.05E+05,3.24E+05,5.37E+04,7.83E+05,2.31E+04,9.63E+04,1.33E+05,4.72E+04,1.30E+04,,,
,16R-1W,140-142 cm,616.67,56.8640,1.43E+07,2.79E+06,2.48E+06,7.20E+05,2.67E+07,1.91E+06,2.70E+05,2.92E+05,0.00E+00,0.00E+00,0.00E+00,5.26E+05,2.72E+05,1.05E+05,1.75E+05,0.00E+00,8.18E+04,1.70E+05,2.52E+05,3.24E+04,4.16E+04,4.15E+06,2.84E+05,2.00E+05,4.02E+06,3.17E+06,4.82E+05,7.68E+06,1.55E+05,5.63E+05,7.98E+05,2.80E+05,7.40E+04,,,
1172D,16R-2W,10-12 cm,616.97,56.9173,7.44E+05,1.42E+05,1.19E+05,3.56E+04,1.27E+06,7.89E+04,9.43E+03,1.15E+04,5.00E+02,0.00E+00,0.00E+00,1.90E+04,8.37E+03,4.26E+03,6.84E+03,1.00E+03,3.18E+03,3.25E+03,7.43E+03,1.35E+03,2.20E+03,1.18E+05,9.02E+03,4.16E+03,8.55E+04,6.52E+04,1.01E+04,1.61E+05,4.72E+03,2.09E+04,2.74E+04,1.11E+04,3.55E+03,,,
,16R-2W,50-52cm,617.37,56.9882,5.46E+06,1.09E+06,9.29E+05,2.52E+05,1.00E+07,7.11E+05,7.23E+04,8.72E+04,0.00E+00,0.00E+00,0.00E+00,1.30E+05,6.67E+04,3.46E+04,4.46E+04,1.00E+03,3.00E+03,2.63E+04,3.03E+04,9.84E+03,1.33E+04,8.33E+05,6.60E+04,1.79E+04,4.39E+05,3.83E+05,6.22E+04,8.84E+05,3.39E+04,1.59E+05,1.97E+05,7.93E+04,2.31E+04,,,
,16R-2W,100-102 cm,617.87,57.0769,4.33E+06,8.41E+05,7.29E+05,2.16E+05,8.09E+06,5.13E+05,6.53E+04,8.09E+04,1.50E+03,0.00E+00,0.00E+00,8.90E+04,4.77E+04,2.56E+04,3.97E+04,4.97E+03,9.87E+03,1.58E+04,3.07E+04,6.54E+03,1.29E+04,5.25E+05,4.43E+04,6.09E+03,3.03E+05,2.54E+05,3.02E+04,5.87E+05,2.27E+04,1.46E+05,1.37E+05,6.54E+04,1.94E+04,,,
,16R-2W,140-142 cm,618.27,57.1432,5.12E+06,9.57E+05,7.60E+05,2.00E+05,8.68E+06,4.99E+05,6.16E+04,8.34E+04,1.50E+03,0.00E+00,0.00E+00,8.83E+04,4.89E+04,2.50E+04,4.85E+04,5.04E+03,7.17E+03,1.24E+04,2.46E+04,7.53E+03,1.57E+04,4.76E+05,4.73E+04,3.88E+03,2.40E+05,1.75E+05,2.00E+04,4.35E+05,2.33E+04,1.45E+05,1.37E+05,7.35E+04,2.32E+04,,,
1172D,16R-3W,10-12 cm,618.47,57.1752,4.58E+05,7.79E+04,6.14E+04,1.63E+04,6.42E+05,3.58E+04,4.38E+03,5.92E+03,5.00E+02,1.00E+03,0.00E+00,6.36E+03,3.64E+03,1.74E+03,2.89E+03,1.00E+03,1.00E+03,3.00E+03,5.00E+03,5.70E+02,1.00E+03,3.58E+04,3.36E+03,5.63E+02,2.31E+04,1.76E+04,1.42E+03,4.21E+04,1.63E+03,1.03E+04,9.99E+03,4.63E+03,1.57E+03,,,
,16R-3W,50-52 cm,618.87,57.2392,5.98E+06,1.19E+06,1.02E+06,2.69E+05,1.08E+07,6.71E+05,7.70E+04,1.03E+05,1.50E+03,0.00E+00,0.00E+00,1.06E+05,5.91E+04,3.47E+04,6.23E+04,6.62E+03,7.55E+03,1.19E+04,2.61E+04,7.99E+03,1.84E+04,5.10E+05,5.82E+04,9.49E+03,3.01E+05,2.24E+05,2.53E+04,5.50E+05,2.98E+04,1.80E+05,1.65E+05,9.70E+04,2.64E+04,,,
,16R-3W,100-102 cm,619.34,57.3144,1.10E+06,2.22E+05,2.08E+05,5.64E+04,2.12E+06,1.41E+05,2.04E+04,2.30E+04,5.00E+02,0.00E+00,0.00E+00,3.46E+04,1.85E+04,7.84E+03,1.24E+04,2.09E+03,5.33E+03,1.05E+04,1.79E+04,2.04E+03,3.94E+03,2.59E+05,1.94E+04,4.54E+03,2.00E+05,1.68E+05,1.74E+04,3.85E+05,1.05E+04,4.34E+04,5.31E+04,2.03E+04,5.98E+03,,,
,16R-3W,120-122 cm,619.54,57.3464,1.34E+07,2.83E+06,2.62E+06,6.72E+05,2.64E+07,1.91E+06,1.94E+05,2.50E+05,0.00E+00,0.00E+00,0.00E+00,4.01E+05,1.87E+05,8.88E+04,1.46E+05,2.57E+04,5.36E+04,9.68E+04,1.76E+05,2.64E+04,4.31E+04,2.95E+06,2.07E+05,7.93E+04,2.34E+06,1.59E+06,2.33E+05,4.16E+06,9.71E+04,4.44E+05,5.88E+05,2.35E+05,6.95E+04,,,
,16R-4W,30-32 cm,620.14,57.4424,1.80E+07,3.31E+06,2.79E+06,7.88E+05,3.23E+07,2.05E+06,2.25E+05,2.92E+05,7.65E+03,0.00E+00,0.00E+00,4.20E+05,2.38E+05,1.08E+05,1.67E+05,3.45E+04,4.61E+04,9.30E+04,1.74E+05,2.74E+04,5.04E+04,2.82E+06,2.29E+05,7.01E+04,2.14E+06,1.46E+06,1.75E+05,3.78E+06,1.07E+05,5.17E+05,6.58E+05,2.75E+05,7.78E+04,,,
,16R-4W,96.5-98.5 cm,620.805,57.5488,1.97E+06,3.84E+05,3.61E+05,1.09E+05,3.86E+06,2.56E+05,2.95E+04,3.70E+04,0.00E+00,0.00E+00,0.00E+00,3.97E+04,2.23E+04,1.11E+04,1.78E+04,5.47E+03,3.76E+03,1.01E+04,1.94E+04,3.05E+03,5.32E+03,2.16E+05,2.20E+04,5.28E+03,1.75E+05,1.42E+05,1.74E+04,3.34E+05,1.10E+04,6.65E+04,6.20E+04,2.89E+04,8.38E+03,,,
1172D,16R-4W,135-137 cm,621.19,57.6104,2.43E+05,4.26E+04,3.11E+04,9.71E+03,3.57E+05,1.89E+04,2.61E+03,3.70E+03,0.00E+00,0.00E+00,0.00E+00,3.17E+03,1.96E+03,1.23E+03,1.95E+03,0.00E+00,0.00E+00,1.00E+03,2.10E+03,2.00E+02,8.03E+02,1.59E+04,1.74E+03,7.44E+02,1.52E+04,1.14E+04,1.70E+03,2.83E+04,1.10E+03,6.31E+03,5.12E+03,3.18E+03,1.00E+03,,,
1172D,16R-5W,10-12 cm,621.44,57.6504,7.78E+05,1.36E+05,9.52E+04,2.78E+04,1.16E+06,6.34E+04,8.04E+03,1.13E+04,0.00E+00,0.00E+00,1.00E+03,1.17E+04,6.13E+03,3.53E+03,5.58E+03,1.00E+03,1.00E+03,2.88E+03,4.88E+03,1.03E+03,1.98E+03,6.02E+04,5.81E+03,1.79E+03,4.47E+04,3.35E+04,3.42E+03,8.16E+04,3.07E+03,1.93E+04,1.78E+04,9.11E+03,3.02E+03,,,
1172D,17R-1W,6-8 cm,625.06,57.7000,6.07E+05,1.04E+05,8.56E+04,2.44E+04,9.07E+05,5.50E+04,7.70E+03,9.93E+03,0.00E+00,0.00E+00,0.00E+00,8.24E+03,5.27E+03,3.13E+03,4.83E+03,0.00E+00,0.00E+00,1.00E+03,3.47E+03,6.45E+02,1.52E+03,4.16E+04,4.34E+03,1.45E+03,3.67E+04,2.87E+04,2.67E+03,6.81E+04,2.57E+03,1.76E+04,1.35E+04,7.96E+03,2.16E+03,,,
1172D,17R-1W,55-57 cm,625.55,58.9757,2.08E+07,2.41E+06,1.61E+06,4.82E+05,1.80E+07,7.65E+05,3.32E+05,3.91E+05,0.00E+00,2.37E+04,0.00E+00,1.59E+05,1.30E+05,5.96E+04,9.70E+04,6.69E+03,4.08E+03,8.02E+03,1.88E+04,7.71E+03,2.39E+04,4.13E+05,5.16E+04,5.77E+03,1.71E+05,1.54E+05,6.06E+03,3.31E+05,2.92E+04,7.23E+05,2.89E+05,1.57E+05,3.16E+04,,,
,17R-1W,80-82,625.8,58.9829,4.65E+07,5.29E+06,3.47E+06,1.00E+06,4.62E+07,1.83E+06,8.43E+05,1.13E+06,0.00E+00,1.00E+03,0.00E+00,3.85E+05,3.61E+05,1.50E+05,2.72E+05,1.36E+04,9.84E+03,2.98E+04,5.33E+04,1.92E+04,6.91E+04,1.24E+06,1.43E+05,1.76E+04,5.78E+05,4.84E+05,2.51E+04,1.09E+06,8.29E+04,1.97E+06,7.46E+05,4.22E+05,8.82E+04,,,
,17R-1W,120-122 cm,626.2,58.9943,4.69E+07,5.22E+06,3.09E+06,9.45E+05,4.28E+07,1.73E+06,9.96E+05,1.22E+06,0.00E+00,2.87E+04,2.99E+04,4.35E+05,3.86E+05,1.69E+05,2.74E+05,1.14E+04,2.00E+04,2.66E+04,5.80E+04,2.00E+04,6.76E+04,1.22E+06,7.23E+04,3.09E+04,6.08E+05,5.67E+05,3.09E+04,1.21E+06,8.15E+04,2.22E+06,8.21E+05,4.43E+05,8.76E+04,,,
1172D,17R-2W,10-12 cm,626.6,59.0057,6.51E+06,7.38E+05,5.21E+05,1.68E+05,6.11E+06,2.78E+05,1.26E+05,1.37E+05,0.00E+00,3.20E+03,1.00E+03,6.31E+04,4.99E+04,2.05E+04,3.75E+04,1.00E+03,2.20E+03,3.56E+03,6.76E+03,1.95E+03,6.63E+03,1.77E+05,1.55E+04,2.37E+03,6.23E+04,7.02E+04,3.94E+03,1.36E+05,9.44E+03,2.63E+05,1.13E+05,5.80E+04,8.58E+03,,,
1172D,17R-2W,55-57 cm,627.05,59.0186,5.50E+06,6.48E+05,4.15E+05,1.45E+05,5.68E+06,2.07E+05,1.02E+05,1.34E+05,0.00E+00,3.02E+03,2.18E+03,5.24E+04,5.23E+04,1.86E+04,3.97E+04,2.07E+03,2.04E+03,3.36E+03,7.47E+03,1.67E+03,7.49E+03,1.61E+05,1.98E+04,1.88E+03,7.11E+04,8.53E+04,2.84E+03,1.59E+05,1.23E+04,2.36E+05,1.05E+05,5.83E+04,9.17E+03,,,
