,,ungrouped dinocyst assemblages,,,,eco-grouped dinocyst assemblages,,,
depth_mbsf,age_GTS12,number of taxa counted,Fisher's alpha,Shannon index,Simpson Index,number of taxa counted,Shannon index,Simpson Index,sumCV (window size 31)
518.48,45.4713,24,6.734053302,2.381289894,0.843837259,11,1.500992868,0.681059201,25.57410231
519.24,45.4961,18,4.283447793,1.753580259,0.680624717,11,1.183365548,0.574493235,25.25274886
519.96,45.5196,18,4.233907088,1.027629447,0.381879814,10,0.729278553,0.320353178,25.34986211
521.48,45.5693,19,4.199946195,1.058045485,0.377356172,10,0.852706823,0.358977156,25.31870805
522.55,45.6042,16,3.201216687,0.831691743,0.309509964,8,0.673023671,0.293282125,25.152056
526.3,45.7267,15,3.466660393,0.905775838,0.326411354,9,0.703400676,0.274474143,24.61600271
526.65,45.7598,17,3.801249296,1.384640687,0.568324388,9,1.040836867,0.518842213,24.58301023
527.4,45.8491,12,2.442228149,0.90190626,0.390431588,7,0.752545021,0.373296602,24.63975581
528.46,45.9754,15,3.40645122,1.253905674,0.531200002,8,1.095500466,0.520833058,25.34307196
529.3,46.0754,17,3.907592817,1.410403271,0.560933324,11,1.245066918,0.546574479,24.98109895
529.6,46.1112,17,4.110226438,1.692519762,0.658626132,10,1.448715941,0.627817963,20.09266666
530.26,46.1898,17,4.042384337,1.882814668,0.773471363,11,1.600773709,0.736102344,20.15766325
531.31,46.3149,19,4.688982001,1.92504351,0.768956924,13,1.704074737,0.740420078,19.68438954
532.6,46.4685,22,5.6982303,1.480914512,0.541658956,11,1.104685628,0.471418733,18.29422619
535.05,46.7604,23,6.352317795,1.623340782,0.656059667,12,0.938797746,0.412349116,18.47657239
536.11,46.8866,15,3.335629209,1.498532146,0.658555515,10,1.167804483,0.591672754,18.2551948
537.4,47.0403,21,5.424384596,2.308707859,0.864344484,12,1.797552527,0.769950019,18.41074152
538.9,47.219,22,6.055645014,1.990067592,0.784894127,12,1.433010062,0.659793388,25.43186934
539.95,47.344,19,4.364157734,1.776503626,0.769757185,10,1.240896954,0.619383987,23.11346142
540.7,47.4033,19,4.816672814,1.659501074,0.675087344,10,1.300574319,0.617508734,22.31348138
541.9,47.4946,21,5.562638993,2.011921386,0.789901903,10,1.355321229,0.619095943,21.79030417
542.84,47.5661,26,6.460525785,2.072372812,0.819027969,14,1.494979167,0.675469153,21.04758856
543.7,47.6316,27,7.723247009,2.155384582,0.822960547,12,1.464880675,0.661181137,20.72455546
545.5,47.7686,23,6.02526859,2.248190952,0.832618624,11,1.683491381,0.741841167,20.37205245
546.45,47.8408,23,5.625212559,2.004160067,0.798457299,13,1.323761282,0.631974288,19.71937175
547.3,47.9055,21,5.388983963,1.628753006,0.664881658,11,1.129978533,0.544378698,19.36425392
548,47.9588,24,6.649323615,2.142884547,0.812135641,12,1.50383388,0.679154777,18.75948129
548.5,47.9969,26,7.182200381,2.40309625,0.85321707,11,1.856659217,0.787686616,18.62724429
549.52,48.0745,20,5.082288541,1.773523411,0.696255289,11,1.310520968,0.619392541,18.31346226
550,48.111,24,6.239042368,2.004960594,0.779818081,12,1.357950947,0.650985378,18.69432562
551.5,48.2252,23,6.383007612,2.298410467,0.83625731,12,1.198686501,0.492965126,18.11863297
553,48.3393,28,8.188304448,2.258714671,0.826002321,12,1.532636184,0.658012087,18.51264983
553.5,48.3774,15,3.546693277,1.766839993,0.767569445,10,1.192409871,0.603525849,18.59838051
554.8,48.4763,24,6.397756158,2.092872896,0.780202383,14,1.758392849,0.748536846,18.7273794
555.5,48.5296,31,9.462979486,2.696562018,0.893786265,12,1.871754338,0.784180713,18.16722786
556.23,48.5783,22,5.523258376,1.984904746,0.795597595,13,1.782584093,0.779301142,17.67729591
556.7,48.6043,31,9.382930039,2.6809452,0.887798269,13,1.912906399,0.783924912,18.05830952
558.5,48.7038,30,8.685732329,2.217932203,0.783763916,14,1.694990158,0.725268779,17.98932188
559.2,48.7426,20,4.760938361,1.835046573,0.743949616,10,1.451498305,0.684073533,18.32692423
559.7,48.7702,25,6.779966498,2.555839223,0.897555097,12,1.79460944,0.765151515,18.3872136
560.74,48.8277,16,3.81530362,1.630442896,0.704246705,10,1.329691914,0.66031193,19.73890193
561.2,48.8532,27,7.675940415,2.775571811,0.921223472,12,2.053547606,0.846335772,20.01485848
561.95,48.8947,24,6.397756158,2.04833021,0.762931764,13,1.736676216,0.73805755,19.28298099
562.7,48.9362,18,4.442491519,2.241591309,0.846018316,10,1.647976967,0.732020127,18.87626732
564.2,49.0191,24,6.812749462,2.306396268,0.846181442,12,1.725295728,0.736009247,19.05816836
564.8,49.0523,19,4.628803237,1.378266103,0.548650491,12,0.900286286,0.356779038,18.76122012
565.83,49.1093,25,6.33807179,1.877281356,0.672217857,15,1.540346896,0.629865782,19.0728876
566.3,49.1353,26,7.653795584,2.868256155,0.929301202,14,2.207561802,0.862308307,18.73155634
567.8,49.2183,14,3.328449562,1.228689357,0.542396696,8,1.089446406,0.523305785,17.56313172
568,49.2294,16,3.133470989,0.523491236,0.173522685,12,0.45491297,0.159101576,17.50488412
568.83,49.2753,18,4.551215165,1.783984539,0.678590504,13,1.472966432,0.641382232,17.12268226
569.05,49.2874,27,8.084352417,2.53655506,0.879669422,14,2.101439391,0.832520661,17.13075005
569.3,49.3013,23,6.548307257,2.393092821,0.858295312,11,1.887412443,0.811655536,17.12610225
571.1,49.468,29,8.978166608,2.672327469,0.895842101,14,2.05977591,0.838734113,16.98729824
572.6,49.6425,28,8.642315905,2.558367981,0.885190458,15,1.978841208,0.826228195,17.21789786
572.685,49.6524,13,3.082878199,1.51178588,0.627816007,9,1.357983444,0.616834763,16.80303943
574.04,49.8101,33,9.909252483,2.803074346,0.916130118,15,2.396454472,0.895425662,16.68669173
574.34,49.845,19,4.927527781,1.307257851,0.536280396,11,1.150382337,0.524353647,16.51177973
575.54,49.9847,36,10.33803365,2.944195336,0.928224623,14,2.369005066,0.889570552,16.37864792
575.84,50.0196,23,6.56009383,2.243539019,0.838020647,12,1.88367926,0.802287291,16.31471153
577.06,50.1615,29,7.904396856,2.168967462,0.792004735,14,1.855671244,0.772596329,16.00448515
577.36,50.1964,22,6.170155491,2.284474498,0.850792097,11,2.025083918,0.836863653,16.13491039
578.54,50.3337,27,6.467792869,2.408219511,0.857651287,14,1.914636945,0.76124297,16.73018779
578.84,50.3687,18,4.769147536,2.310893733,0.859569511,11,1.979971121,0.83297338,15.8782415
580.04,50.5083,33,9.33313147,2.513447561,0.869842122,14,2.014171586,0.796993414,15.34895262
580.34,50.5432,22,5.593829419,2.380820956,0.867704082,13,2.032652805,0.842729592,15.23654338
581.54,50.7834,31,10.15157236,2.516040057,0.870434266,13,1.937773481,0.768066627,15.23709201
581.84,50.8741,21,5.647805923,2.300267472,0.861029711,11,1.955879852,0.83141532,15.50349865
583.06,51.2432,26,6.82641227,2.324703903,0.851756603,14,1.942026807,0.801448108,15.53019123
583.36,51.3339,18,4.564195436,2.030892427,0.792676299,12,1.844803358,0.782931354,15.46350274
583.61,51.4095,21,5.789005551,1.838033818,0.708882163,13,1.636702061,0.686009256,16.02491353
585.85,52.7443,31,9.336383093,2.737365743,0.90450154,15,2.075676978,0.82018032,16.26830761
586.15,52.7887,25,7.208670507,2.511332257,0.875837053,14,2.207327621,0.85833216,15.50744677
586.35,52.8183,22,5.915064331,2.187800152,0.813466564,15,1.97344665,0.786243909,15.73198682
586.65,52.8627,27,7.997080547,2.333552901,0.818505758,15,1.997898234,0.779309265,15.75284975
586.85,52.8923,29,8.892923379,2.357037631,0.824106659,14,1.907635857,0.773713527,15.72243201
587.15,52.9367,24,6.628945196,2.500154542,0.872505639,13,2.056138777,0.814724264,15.65963462
587.35,52.9663,33,9.029596028,2.511149719,0.87652249,15,1.941332314,0.788685121,15.67405326
587.65,53.0107,29,8.657943137,2.818481411,0.915719229,14,2.21580272,0.858025563,15.4704098
587.85,53.0403,27,8.129710718,2.148399368,0.764764596,14,1.786596099,0.72239369,15.60996338
588.15,53.0847,31,9.038220245,2.70835127,0.896213992,14,2.145677251,0.843319616,15.72116454
588.35,53.1143,28,8.574804176,2.456197897,0.852366256,15,2.134901765,0.825745885,15.90808051
588.65,53.1587,25,7.246580268,2.166667927,0.764275918,12,1.590682792,0.639257576,16.09125701
588.85,53.1883,22,5.42281026,2.024976044,0.757020576,12,1.699087086,0.723082527,15.86031142
589.15,53.2327,25,7.380215957,2.454099069,0.871049616,13,1.894943231,0.746889455,15.65057666
589.35,53.2623,18,4.442491519,1.870934674,0.739131125,12,1.152281334,0.489272075,15.8773458
589.65,53.3067,18,4.288112421,1.740156714,0.678309546,10,1.340392922,0.602117347,16.1972358
589.8,53.3289,16,3.65664575,1.682650778,0.701696028,10,1.498076162,0.682038242,16.62505216
590.1,53.3733,24,5.979491806,2.461025254,0.887952663,13,1.952754923,0.812410739,16.86780618
590.35,53.4103,27,7.499862983,2.370554947,0.853567871,14,1.932640748,0.805331868,17.06190477
590.65,53.4546,28,8.591454062,2.317124394,0.825743646,13,1.563391482,0.648372237,17.1979273
591.85,53.6322,25,6.262131949,2.465584951,0.86059032,15,2.077524051,0.82743138,17.42043065
592.15,53.6766,23,6.372696244,2.139272153,0.769817509,12,1.747774672,0.734341336,17.70397665
593.35,53.8542,26,7.331166253,2.648295796,0.900424528,13,2.040281207,0.824404921,16.9220248
593.65,53.8986,23,6.425093123,2.670756017,0.908083546,14,2.270454921,0.873971193,16.97736537
594.25,53.9856,24,7.037749853,2.296842727,0.834055991,13,1.737173245,0.736799524,17.64132828
594.35,53.9967,21,5.424384596,2.205289155,0.803936947,12,1.870931443,0.778628557,17.18088549
594.47,54.0101,21,5.882777612,2.211262559,0.819578246,13,1.886412874,0.786197432,17.00056773
594.77,54.0435,22,6.214548585,2.150976943,0.773668639,13,1.816412021,0.745238536,16.81498514
594.87,54.0547,25,6.826925377,2.637585495,0.893516793,13,2.119020893,0.835947359,16.89888391
594.92,54.0602,28,7.599852942,2.56946477,0.886940536,13,1.881382693,0.775278819,16.75434931
595.12,54.0825,26,6.898836415,2.694611672,0.911474949,12,1.994750778,0.798742728,16.43420175
595.17,54.0881,22,5.871684798,2.385094731,0.85440905,14,1.995912819,0.815103046,15.4693145
595.22,54.0937,18,4.72899496,2.297437044,0.849805843,10,1.752865257,0.758690828,15.98247614
595.37,54.1104,27,7.242621348,2.545139902,0.880281365,12,1.854665353,0.773218092,17.55982518
595.42,54.116,23,6.56009383,2.00598419,0.768244926,12,1.676450062,0.730576582,17.21660123
596.44,54.2296,28,7.2913438,2.352374794,0.844788794,14,1.945037579,0.80848112,11.66789244
596.49,54.2352,25,6.895494026,2.380702206,0.859221467,12,1.807895096,0.753968254,11.79304428
596.64,54.2519,25,6.75255317,2.622859617,0.89727728,12,2.164155176,0.850613376,12.08800961
596.69,54.2575,22,5.797484405,2.147429545,0.820704208,12,1.632982677,0.709404132,11.61470605
596.91,54.282,24,6.485348744,2.469926452,0.877624512,12,2.036192507,0.826721191,11.73196853
596.96,54.2876,23,6.332258008,2.257467377,0.817255796,14,1.807570275,0.725082429,11.64749018
597.11,54.3043,25,7.208670507,2.444220497,0.86328125,13,1.987040067,0.806491182,11.75283237
597.16,54.3099,18,4.519593457,2.167754588,0.81975143,13,1.945514125,0.791681378,11.86806529
597.31,54.3266,23,6.122047911,2.298496122,0.844940186,13,1.965276899,0.801116943,12.15130362
597.36,54.3322,19,5.04464168,2.013028289,0.788247482,13,1.688903199,0.718420067,12.25669491
597.51,54.3489,17,4.438768997,1.872658689,0.71935,11,1.660689308,0.7027,12.37943057
