Hole,Depth (c. mbsf ,Core (-R),Section (-W),Interval (top),Interval (bottom),Dage,Open,Spinif,Cribro,Cleisto,Proxgap,Aliso,Glaph,Ennead,Wetzel,Palaeop,Spinvozz,Defl,Phthano,Seneg,Gonio,Protop,Thermo,Endemic,Terr,,,,
1172A,425.65,46,3,85,87,40.66,0.4,0.4,0.8,0.0,0.8,0.0,0.0,84.7,0.0,,4.7,5.9,1.3,0.0,0.0,0.0,0.0,95.8,2.5,,,,
1172A,426.02,46,3,122,124,40.70,14.9,7.0,1.8,1.8,0.9,0.0,0.0,8.3,0.0,,12.7,46.9,0.9,0.9,0.4,0.4,0.4,68.4,3.8,,,,
1172A,426.22,46,3,142,144,40.73,14.1,7.8,8.6,1.6,3.1,0.0,0.0,9.4,0.0,,24.2,23.4,4.7,0.0,0.8,0.8,0.8,57.8,9.9,,,,
1172A,427.15,46,4,85,87,40.83,7.2,3.0,40.1,1.3,0.0,0.0,0.4,3.8,0.0,,19.8,22.4,0.8,0.0,0.0,0.4,0.0,43.9,3.3,,,,
1172A,427.22,46,4,92,94,40.84,6.8,5.3,23.8,1.5,0.0,0.0,0.0,9.1,0.0,,20.4,19.6,1.5,1.5,0.0,9.1,0.0,49.8,4.3,,,,
1172A,427.72,46,4,142,144,40.89,17.5,6.2,1.0,3.1,1.0,0.0,0.0,20.6,0.0,,24.7,14.4,6.2,1.0,0.0,1.0,0.0,56.7,9.3,,,,
1172A,428.65,46,5,85,87,41.00,9.6,7.2,0.5,0.0,1.0,0.0,0.0,26.7,0.0,,16.4,35.2,1.4,0.0,0.0,0.5,0.0,76.4,2.4,,,,
1172A,430.90,46,7,10,12,41.26,18.2,16.4,1.2,1.8,1.8,0.0,0.0,13.3,0.0,,21.2,22.4,9.7,1.8,0.0,1.8,0.0,44.2,5.7,,,,
1172A,432.23,47,1,85,87,41.41,12.6,8.4,9.1,0.3,0.3,0.0,0.0,9.1,0.0,,5.9,60.8,1.0,0.0,0.0,0.0,0.0,75.9,1.4,,,,
1172A,433.73,47,2,85,87,41.52,3.6,1.2,0.4,0.8,0.0,0.0,0.0,21.5,0.0,,7.2,61.8,0.0,0.0,2.0,0.0,2.0,93.2,0.0,,,,
1172A,435.23,47,3,85,87,41.63,4.4,1.6,3.3,1.1,0.0,0.0,0.0,46.4,0.0,,8.7,32.8,0.0,0.0,0.0,0.0,0.0,86.9,4.7,,,,
1172A,436.73,47,4,85,87,41.75,1.6,0.0,0.8,0.4,0.0,0.0,0.0,81.8,0.0,,7.1,6.3,0.0,0.0,0.0,0.0,0.0,96.4,0.8,,,,
1172A,438.23,47,5,83,84,41.86,3.4,2.1,2.1,0.0,0.0,0.0,0.0,87.7,0.0,,4.2,0.0,0.0,0.0,0.0,0.0,0.0,92.4,1.3,,,,
1172A,439.75,47,6,85,87,41.98,5.8,4.4,1.0,0.0,1.0,0.0,0.0,54.6,0.0,,14.6,17.6,3.1,0.0,0.0,0.0,0.0,88.1,0.7,,,,
1172A,441.85,48,1,85,87,42.14,3.0,2.6,1.9,0.0,0.0,0.7,0.0,42.8,0.0,,13.4,30.9,3.0,1.5,1.9,0.0,1.9,66.2,0.0,,,,
1172A,443.35,48,2,85,87,42.25,1.8,1.5,1.0,0.0,0.3,0.0,0.0,36.5,0.0,,5.4,54.2,0.8,0.0,0.0,0.0,0.0,96.1,0.0,,,,
1172A,444.85,48,3,85,87,42.38,5.6,4.2,1.3,0.0,0.3,0.0,0.0,16.3,0.0,,5.6,64.4,1.6,2.0,1.0,0.0,1.0,81.0,0.6,,,,
1172A,446.35,48,4,85,87,42.52,0.8,0.3,1.1,0.0,0.3,0.0,0.0,15.4,0.0,,4.0,75.5,0.5,0.3,0.3,0.0,0.3,96.5,0.3,,,,
